CAL51,CAL120,BT549
PLEKHM1,VCAN,L2HGDH
AC139677.11,SARDH,MIR3692
SPPL2C,MYBPH,LINC00483
RPRML,TESK1,PLS3
MRPL45P2,MDGA1,FAM129A
KPNB1,SHANK2-AS1,CCDC88C
MRPL10,SEC14L5,IQCD
PRR15L,SLC45A4,DAK
MIR152,SYNE4,ZNF862
HOXB4,MAP3K8,REPIN1
PRAC2,CACNA1B,ITGAM
MIR3185,CD177,UBE2A
ATP5G1,LRRC29,MIR548AN
UBE2Z,RET,SLC2A13
SNF8,TTLL1,BCAR4
SPOP,SPOCD1,L3MBTL2
FAM117A,MIR3155A,CEP78
KAT7,CLEC2L,MIR3684
HILS1,MIR3675,BRD2
EME1,RGS7BP,RNF138P1
RSAD1,ZNF208,PSPC1
EPN3,TGM2,GPR137
SPATA20,VDR,MLH3
CACNA1G,YIF1B,LRG_217
LUC7L3,SYT12,SENP6
LINC00483,ZNF257,SCARNA11
WFIKKN2,OPA3,NTMT1
NME2,CXCR4,GTF3C3
NME1-NME2,LRG_51,STYXL1
MRPS23,ZFYVE16,CCDC79
CUEDC1,ZNF423,FGD6
VEZF1,POLR1B,ENTHD2
EPX,WNT4,MINK1
LPO,TTLL9,ITPRIP
MPO,UXS1,ARHGAP6
LRG_84,ZNF711,ACAD8
BZRAP1,PLXDC1,LRG_448
BZRAP1-AS1,WIPF3,UBR5
MTMR4,SMIM6,SCAMP1
TRIM37,THOC1,ZNF43
GDPD1,CNTN2,GGCX
DHX40,RHOA,CALB2
CLTC,TBC1D2,DDX21
PTRH2,ZNF114,BEX1
TBC1D3P1-DHX40P1,PTK7,CXCR3
MIR4737,IL6ST,C15orf40
USP6,ADAMTSL4,CACNB1
USP32,NBL1,GATSL3
APPBP2,MINOS1-NBL1,CCDC102A
BCAS3,MAGEB10,HNRNPD
INTS2,CD79B,BRI3BP
TLK2,LRG_43,ZBTB17
MRC2,SLFN5,DHRS3
CYB561,PRADC1,PMS2CL
TACO1,C7orf31,RIN3
DDX42,ZNF540,ACBD5
CSH2,HERC2,RP11-220I1.1
GH2,CYP11B2,LMO7
CSH1,HIST1H2APS1,SLC38A10
CSHL1,H1FX,RNF215
GH1,C14orf37,STK17B
CD79B,CTTNBP2,TMEM33
LRG_43,TUBA8,SERPINF2
POLG2,MIR885,PTPRS
CEP95,DDX19B,MIR22HG
LRRC37A3,ST3GAL4,KANSL1
RGS9,PRDX1,AC217772.1
AXIN2,ADAM33,YWHAZ
LRG_296,CHRM1,CASP2
MIR634,NCAM1,GALNTL5
CACNG4,LSR,ZZZ3
CACNG1,SYT11,GRAMD1C
LOC440461,FOSB,BOLA1
ABCA10,TMEM219,XIAP
SLC39A11,VWA5B2,RP11-566F5.1
COG1,SEMA3F,LRG_19
C17orf80,CTD-2126E3.1,TTPAL
CPSF4L,GSE1,MIR1256
AC125421.1,TMEM63B,GAREML
TTYH2,ACPL2,ACVR1C
DNAI2,CSF2RB,SPATA32
BTBD17,CLK2,CCBL1
GPR142,RAB11FIP4,PPP2R2C
GPRC5C,AGO1,PHYKPL
CD300A,TMEM63C,CLIP2
CD300LB,CLSTN1,MEX3B
RAB37,C1orf177,TESK2
FADS6,PCBP4,GON4L
HID1,KCNH3,TMEM86A
ICT1,ZNF260,GRB2
SLC16A5,KIR3DL2,PPP6R2
ARMC7,SH3PXD2B,BYSL
HN1,UNC13A,NGDN
RP11-649A18.12,MUSTN1,FOXJ3
GRB2,UBE2O,PAQR4
KIAA0195,RASD2,RARRES1
CASKIN2,LEF1,AOC3
LLGL2,MIR23B,HSF2BP
SMIM6,PTTG1IP,SDK2
SAP30BP,ART5,TRPM2
ITGB4,ZP3,DUSP3
WBP2,DMTN,NXPH4
TRIM47,SLC30A3,HECTD1
MRPL38,PHC2,VAV1
FBF1,DERL3,PTPRE
GALR2,MIR4685,MGAT5B
EXOC7,ADRBK1,ZNF778
FOXJ1,SPEG,LRG_284
UBE2O,HCK,NT5M
AANAT,FOXN1,ASF1B
RHBDF2,LRG_61,KCTD5
CYGB,LOXL4,RNF216
MXRA7,USP35,PQLC1
JMJD6,SEC22B,DPF1
SEC14L1,PNLIPRP2,GBAP1
9-Sep,HIST1H2AC,TET1
TMC8,SMAD1,CHPT1
LRG_119,TBC1D29,BRCA2
C17orf99,ANKRD6,LRG_293
RP11-219G17.4,SLC4A1AP,UBXN7
PGS1,SYVN1,TMCO2
DNAH17,MYO7A,LINC00339
RP11-559N14.5,SMARCD3,TRIM8
USP36,QPRT,DNAH8
DDC8,PSTPIP1,ZNF785
ENGASE,LRG_172,TMEM222
RBFOX3,THEMIS2,RHBDD2
TBC1D16,DHX58,RP11-404O13.1
CCDC40,IFNL3,PRDM11
CARD14,BHLHE41,PPP1R21
RNF213,AKAP8L,SLC7A3
RPTOR,HDAC1,UNC13D
AATK-AS1,ULK4P3,LRG_122
AATK,IGDCC3,BTAF1
AZI1,SLC18A2,MYCBP
NPLOC4,SEMA4A,ERO1L
PDE6G,IL21R,ZNF135
ALYREF,CTNS,MOGS
MAFG,DRAM1,DBF4
MYADML2,FAHD2CP,PAOX
DCXR,ACOT7,EIF4A3
CCDC57,UBIAD1,BEST1
CSNK1D,GATS,DTX2
C17orf62,GAB3,GALNT15
WDR45B,ATG4B,KIF1A
FN3K,MRPS23,MIER1
ZNF750,FAF2,DIABLO
TBCD,POTED,PPP1CB
B3GNTL1,POTEC,ZNRF3
CLUL1,BX072566.1,OXER1
ADCYAP1,USP19,TRIM28
MYL12A,DUPD1,FREM1
LRRC30,KLHDC8A,PFDN4
RAB31,SEC1P,PLP2
GNAL,SESN3,PLD1
ANKRD62,RP5-1024G6.5,9-Sep
CIDEA,MCHR1,ADAMTS2
CEP192,NINJ1,ANKRD10
MIR4526,PCDH12,UBE2D3
LDLRAD4,ATP1A1OS,TCERG1L
POTED,ENTPD3,AKR1A1
POTEC,MIR3913-1,PROB1
BX072566.1,LRP5L,RMDN3
MIB1,CCDC88A,PRPSAP2
TMEM241,ANKRD29,N4BP1
ANKRD29,OSBPL9,KLHL21
CABYR,PRICKLE1,CDK12
PSMA8,ZNF844,IGFALS
RNF138,AC073869.20,EIF2B4
ZNF24,TTC28-AS1,FOLR1
INO80C,ADAMTS17,C1orf50
MOCOS,MIR4737,GCC2
KIAA1328,LCTL,OR1I1
LINC00669,NPHP4,NUS1
SIGLEC15,GRID2,MEI1
EPG5,ARHGAP33,SSH1
HAUS1,MORC4,ALG1
RNF165,FAM13A,UGGT2
LOXHD1,BEGAIN,NANP
IER3IP1,VPS18,TMEM134
MYO5B,HOXD13,FAIM2
MRO,RPRM,TMC6
ME2,SHISA8,LRG_118
MEX3C,ICA1L,RNF24
MBD2,FAM102A,SP4
TXNL1,GLB1L,CCDC86
WDR7,SCGB1B2P,SNX3
ST8SIA3,CELP,RCC2
NEDD4L,CYB561,WDR25
CCBE1,APPBP2,BFSP1
PIGN,GRM5,FGF5
SERPINB11,CYP2S1,CDK2AP1
FBXO15,LINC00514,SLC2A5
CNDP1,RAP1GAP,RNF19B
RP11-1O2.1,TMEM41A,AP2S1
RP11-17M16.1,HK3,CC2D1B
ATP9B,BZRAP1-AS1,CRELD1
CTDP1,LINC00634,TAF1C
LRG_236,GPR37L1,NLRP9
HSBP1L1,TRIM2,SHQ1
RBFADN,STARD10,TAGLN2
ADNP2,TTC7B,CCL15-CCL14
MADCAM1,PHYHIPL,CCL15
BSG,CD300LG,AP5S1
MED16,TGFBR3,RWDD2B
ABCA7,DOCK6,OSER1
HMHA1,RPL38,TIAL1
POLR2E,FAM159A,FGD5-AS1
EFNA2,C14orf1,ATRN
ADAMTSL5,MUC1,FN3KRP
PLK5,SLC7A5,KCNJ11
MEX3D,AC079776.2,ZNF546
MBD3,AXDND1,PLS1
REXO1,ZNF558,BTBD10
AP3D1,MT1H,MIS18A
DOT1L,GDF6,MYO9B
JSRP1,MARCKSL1,CCDC9
LINGO3,CDC42EP5,ANAPC5
TMPRSS9,HECW2,SNORD115-6
GADD45B,MIR769,SIK1
THOP1,LHB,PARP4
ZNF77,TSHR,ACTL9
AES,LRG_523,SPRED1
CELF5,LINC01168,ESPNL
TJP3,WNK2,COG1
ATCAY,ADAMTS13,LOX
NMRK2,SLC26A6,PPP2R5E
DAPK3,3-Sep,BAHD1
MIR637,PREX1,MRPS10
SNORD37,ATP6V0C,CACNA2D4
EEF2,MIR3663,NARS
TMIGD2,C10orf105,HNRNPM
STAP2,TRAM2-AS1,ITM2B
SH3GL1,AVEN,STARD10
UBXN6,CDK5R2,MYO1H
HDGFRP2,LGI4,CNPY3
TNFAIP8L1,MCCC1,AUTS2
FEM1A,RASL11B,FAM117B
MIR4747,ARHGAP5,ZFP57
KDM4B,NKX2-3,DESI2
CATSPERD,GJB2,FAM171A2
DUS3L,ZNF385A,FAM175A
FUT6,PNCK,GLT1D1
RANBP3,MAMLD1,SLC25A10
ALKBH7,GMPPB,TMEM63A
GTF2F1,TRIB2,PTRF
KHSRP,CEP19,LNPEP
SLC25A23,SLC16A2,AMOTL1
TNFSF9,PAF1,NOL3
CD70,MPC2,PMS2P4
SH2D3A,AMZ1,ZNF737
PEX11G,RBFOX3,SAMHD1
CAMSAP3,A4GALT,LRG_281
PCP2,PRSS35,C2CD3
STXBP2,CPAMD8,FERMT1
LRG_165,ARRDC2,OIP5
CD209,AKT2,KLHL15
EVI5L,TCF4,POLR2L
CTD-3193O13.10,ZBTB48,PLA2G6
RPS28,ZFHX2,LLGL2
RAB11B-AS1,RP11-807H7.1,LTV1
ADAMTS10,TMSB10,RAB6A
ACTL9,CMBL,MLK4
ZNF558,HIST3H2BB,TMEM243
ZNF266,CRAT,XPNPEP1
C19orf82,KRTAP10-3,C12orf57
ZNF846,MTRF1L,MAPK3
PIN1,SERPINF2,DNAL4
OLFM2,ASIC4,ARHGEF1
ANGPTL6,SOX10,TESK1
DNMT1,LRG_271,PNPLA8
LRG_362,BAI2,ACAP3
FDX1L,PPAPDC3,MRPL44
PDE4A,TTC39C,C9orf37
KRI1,TMEM121,TMEM64
SLC44A2,LINC00461,RAB7A
ILF3-AS1,EDEM2,LRG_266
ILF3,FAM196A,SPHK2
QTRT1,FAHD2A,REST
DNM2,LONRF3,PDGFC
MIR199A1,PRM1,GSK3B
CARM1,RPS6KA5,PDXDC1
SMARCA4,MLN,TFPI2
KANK2,ZKSCAN8,FAM66C
DOCK6,GSTM3,WDR87
CCDC159,PINK1,PROS1
DKFZP761J1410,SLC23A1,NGEF
SWSAP1,RHPN1-AS1,TAOK2
ZNF653,CD300LF,MIR320C1
ECSIT,RAB39A,MAPK7
CNN1,DLG3,AC125232.1
ELOF1,KLHL5,NEK2
ACP5,VDAC2,PHLPP1
ZNF833P,MIR208B,PLA2G5
ZNF823,NOVA2,TRAPPC10
ZNF441,MIAT,ARFGAP3
ZNF440,USH1C,COPB1
ZNF69,SLC1A1,FGR
ZNF700,CTD-3193O13.10,ZNF638
ZNF878,CDHR4,GPRC5B
ZNF44,LIN37,IRAK2
ZNF563,ITM2C,SLC35D1
ZNF443,PHYKPL,RP11-1055B8.7
WDR83OS,HIF3A,PTK2B
DHPS,TAB1,DCXR
BEST2,LUZP1,HNRNPU
RTBDN,RND2,KPTN
GCDH,RASSF4,PLA2G4C
NFIX,RPS3A,C1orf127
TRMT1,RPS3AP6,CTDSPL2
CACNA1A,CACNA1G-AS1,SERPINE2
LRG_7,PLXND1,ZNF217
C19orf53,ZSCAN5B,CTBS
PALM3,PAEP,AKR1B1
PRKACA,OPRL1,PPP1R15B
LPHN1,KCNA7,ESYT2
DDX39A,WNT5A,PALM2
GIPC1,EPB41L4B,SLC7A5
EMR2,LRP2,TJP1
SLC1A6,DUSP9,CXorf66
AKAP8,IGFBP2,ZNF768
AKAP8L,C8orf31,CTSL
RASAL3,THY1,RNU6-78P
CYP4F3,LINC00642,MOB3C
CYP4F12,HOXB6,PLEKHG5
OR10H1,CLPSL2,LRG_262
CYP4F2,GPHA2,USP24
CYP4F11,BASP1,KAT6A
LINC00661,CHRNA3,FLNA
RAB8A,PPP1R1B,NFYC
HSH2D,FFAR3,YARS
FAM32A,C1orf194,LRG_273
CHERP,SLFNL1,SLC1A5
CPAMD8,RHBDF2,RPS14
MYO9B,UGT3A1,JMJD1C
MRPL34,RCAN2,LDHAL6A
TMEM221,LDHA,TMEM9B
FCHO1,TGFA,PIK3C2B
KCNN1,FAM57B,ERMAP
IFI30,ASGR1,LMCD1-AS1
PDE4C,LINC00471,CAPN10
MIR3189,MLTK,C18orf32
ELL,ASXL1,PLXNA1
KXD1,PLEKHF1,TRAPPC9
CRLF1,KCNQ1,EIF2AK4
TMEM59L,LRG_287,UGDH
UPF1,KCNN1,HSD17B1
CERS1,FNDC4,COL18A1-AS2
COPE,HOXB7,HARS2
SUGP2,PPM1M,THY1
SLC25A42,WNT6,MT1M
TMEM161A,RPS16,IRS1
MEF2BNB-MEF2B,ENG,TSC2
MEF2B,ARL15,ARTN
RFXANK,GALNT12,ATG3
LRG_102,IL4I1,ANGEL1
NCAN,COPG2,CSTB
SUGP1,KLHL2,BCAR3
MAU2,MIR182,WDFY2
GATAD2A,MIR4311,ENO2
PBX4,HOXB1,DAPK3
ZNF14,PPP1R18,MIR637
ZNF506,AACSP1,CEP63
ZNF253,PAQR6,TBCCD1
ZNF626,BGLAP,MKRN1
ZNF85,VGLL4,PAICS
ZNF714,COL23A1,CTBP1
ZNF708,ADAM3A,CDC42EP2
ZNF43,ST14,APEH
ZNF257,ACTL6B,SLITRK4
CTC-457E21.3,UBE2D3,NFKBIA
ZNF728,RBM47,LRG_89
ZNF91,HRK,CENPBD1P1
ZNF254,TNFRSF10D,EPAS1
LINC00662,ZNF253,MGA
URI1,IFT27,PALD1
RHPN2,GPR97,LRRC3-AS1
CHST8,EZH1,GLE1
KIAA0355,GFPT2,MCUR1
GPI,CSAG4,RP11-667K14.8
PDCD2L,NNT,EOGT
WTIP,MCF2L2,ADRA2C
ZNF30,BACH2,TMEM217
GRAMD1A,CD9,SPRY1
SCN1B,GTF2IRD1,ENAH
FXYD1,FAM167A,RBM4B
FAM187B,EPB41,TSKU
LSR,IFT46,METTL10
MIR5196,LIPT2,FUBP3
FFAR3,EXOC6,AC007773.2
FFAR2,KLF2,CSPG4
DMKN,COL18A1,TOMM5
SBSN,RP11-273G15.2,CCDC57
ETV2,VCL,KIF11
COX6B1,LRG_383,FAM96B
U2AF1L4,RAB11FIP3,SNX11
ARHGAP33,WASH7P,EPC2
NFKBID,NLK,PISD
TYROBP,EIF4H,DIO1
SYNE4,LAMTOR5-AS1,AMDHD2
THAP8,RBM15,CEMP1
TBCB,GOLGA2,FECH
ZNF565,RORA,ZDHHC5
ZFP14,RAB3D,SNRPC
ZFP82,TPRKB,TBX4
ZNF260,DACT2,SLC38A9
ZNF529,TACR3,XYLT1
ZNF850,KCNAB2,PPIL2
ZNF790,GDF5,NETO1
ZNF829,ZCCHC3,CCDC176
HKR1,OPN1LW,AURKC
ZNF569,KLK4,ZNF276
ZNF540,GRIN1,KAT8
ZNF781,WIPI2,RP11-545I5.3
YIF1B,S1PR1,TRPM1
CATSPERG,MIR5093,SLC9A5
PSMD8,RPL13A,SLC14A2
RASGRP4,CAPN1,C1orf63
RYR1,ZFP36L1,CRYM-AS1
CAPN12,CCSER1,NIPSNAP1
LGALS4,GINS2,BCL2L1
HNRNPL,PHLDB3,CRYBB2
RINL,METTL24,FN3K
SIRT2,CD70,PPP1R26-AS1
MRPS12,SPAG4,C9orf40
NCCRP1,ZCCHC12,PSME1
IFNL2,RPS10,CTD-2139B15.4
PLEKHG2,UGCG,RXRA
RPS16,RP11-23F23.2,JAKMIP3
SUPT5H,MOV10L1,CTIF
PSMC4,PLEKHG4,FBXO11
CNTD2,DPEP2,SLC43A2
AKT2,PLEKHA7,CHAF1B
PLD3,MIR153-1,WDHD1
PRX,GPI,SMC1B
LRG_265,RAE1,ITPA
SHKBP1,CNTD1,WDR60
LTBP4,RP11-81H3.2,NARF
ADCK4,SLC9A7P1,ARGFX
EGLN2,KIAA1045,PTPN1
HNRNPUL1,WNT10A,RPS10
TMEM91,NEO1,YY1AP1
EXOSC5,PARVG,ZNF428
ATP5SL,DYRK4,CAV1
C19orf69,MARVELD2,FRMPD4
RPS19,MIR4297,CYB5R4
CD79A,PKP2,ATRIP
LRG_42,GNGT2,TREX1
ARHGEF1,ABRA,H1FNT
RABAC1,PPFIA3,DCLRE1C
GSK3A,UCP2,LRG_54
ERF,KCNJ10,SOCS3
PRR19,ATOH8,TBC1D9B
MEGF8,SYT10,UPF2
CNFN,WBSCR27,NDUFB2-AS1
LIPE-AS1,NEUROG2,OCSTAMP
LYPD3,SNORD115-2,LGMN
PHLDB3,CCDC71,TRAF7
ZNF575,MIR5698,WIZ
SRRM5,KIAA0226L,SMIM8
SMG9,DCHS1,FGD1
ZNF45,MIR4291,KCTD8
ZNF284,SASH3,FBRS
ZNF233,DENND5A,MT1H
CEACAM16,TACR1,ZNF236
APOE,CDX1,CGGBP1
APOC1,NR4A3,MICAL1
APOC1P1,FAM50A,RPSA
CLPTM1,RRP1,RNF38
BLOC1S3,CCDC9,ADAM15
ERCC2,NXF1,TNKS
LRG_461,INPPL1,DPF2
PPP1R13L,CNPY1,ANKRD40
FOSB,DNAJA1,KLHDC2
RTN2,DCAF5,ETNK1
VASP,REV3L,SIK2
OPA3,CHST13,HTT-AS
EML2,ATCAY,LINC00162
SNRPD2,CTRL,GPR45
DMPK,SLC22A11,MRPL37
CCDC61,RBPMS,TSEN54
AC006262.6,GPRASP1,DNAH10
PPP5C,ATP6V1B1,GRAMD2
PNMAL1,KLHL36,ZP2
NPAS1,ZNF592,C1orf174
CCDC9,KIR2DL4,ZSCAN5A
DHX34,TMEM229B,MAFG
MEIS3,TMEM128,BOK
SLC8A2,FAM35A,PDCL3
KPTN,NR2F1,JAG2
GLTSCR2,AVPR2,C17orf75
SEPW1,MROH7,ZNF347
PLA2G4C,PHKA2,DLK2
LIG1,DHRS4,HMGA1
LRG_78,DHRS4L2,NELFA
CARD8,GGT5,PODNL1
ZNF114,ELN,KIAA1191
CCDC114,COL27A1,11-Sep
KDELR1,ATG5,MIR4800
GRIN2D,TMEM130,PLSCR1
KCNJ14,LINC01105,SERHL
SPACA4,IGSF3,CYTH3
DBP,CRABP1,LMNB1
NTN5,C16orf74,NR6A1
MAMSTR,PHYHIP,KRT7
FGF21,SPATA6,SLC19A1
BCAT2,DLG4,MIR624
HSD17B14,COMT,RNF122
PLEKHA4,ADRBK2,DGKQ
CGB,CNNM4,ARSG
CGB5,R3HCC1,PAIP2B
CGB8,SOX5,SP9
CGB7,PTPN9,EML4
NTF4,SH3PXD2A,CSNK1G2-AS1
SNRNP70,LONRF1,HSDL1
PPFIA3,LRRC4C,BRD9
TRPM4,DDX39A,CNDP2
CCDC155,EPC2,FAM73A
SLC17A7,CHD5,HPS3
RPL13A,GSX1,ADRA1B
SNORD33,ACBD4,LSM11
RPS11,PIEZO2,ZNF598
MIR150,IFITM5,MPDZ
FCGRT,PIK3R3,ALDH7A1
RCN3,ACOT8,DNAH3
PRMT1,WHAMMP2,DNAJC3
CPT1C,RFX4,DCDC2B
MED25,MICB,PDCD2L
LRG_368,ASS1,TMEM158
PNKP,KRT8,DNAJB1
IL4I1,KRT8P3,SNHG6
ZNF473,ENPP5,RCC1
CTD-2126E3.1,KIRREL3,SMIM7
MYBPC2,PTCH1,MIR4726
EMC10,SPDEF,NUP188
C19orf81,HILS1,SPEF2
CLEC11A,GPR148,PKM
ACPT,PACS2,GABRG3
KLK3,FCHO1,FEM1A
KLK5,CYP4F12,EPS8L2
KLK7,PRSS30P,SIDT1
KLK14,PLA2R1,CENPP
CTU1,ABHD11,LARS
SIGLEC9,NSUN7,SNORD93
SIGLEC7,PROZ,MRPL23-AS1
SIGLEC17P,SYNDIG1L,CCNA2
CD33,PTPN3,SNX32
SIGLECL1,NPC2,MUC2
IGLON5,CLSTN3,CTDSP1
ETFB,NFKBIE,TUSC2
NKG7,SLC7A10,REV1
LIM2,ITGB3,NDE1
SIGLEC12,PNPLA7,LTBP4
SIGLEC6,FOXD2-AS1,ZNF514
SIGLEC5,AGPAT3,CCDC17
SIGLEC14,PRRG3,CCDC87
ZNF649,HAND2-AS1,C17orf47
ZNF615,EPB42,GALC
ZNF841,LGALSL,14-Sep
ZNF766,C19orf66,RPL27
MIR643,C3orf20,ANKLE1
ZNF610,GPR55,USP33
ZNF578,PCDHA1,SLC22A18AS
ZNF808,USP39,MAP3K4
ZNF701,FXYD2,NFKB2
ZNF83,CYP21A2,RPL19P12
ZNF611,SPATA20,PARP6
ZNF600,HUNK,JOSD1
ZNF468,FAM43B,RLF
ZNF320,GATSL3,BIRC5
ZNF816-ZNF321P,JAKMIP3,EIF4EBP1
ZNF816,MGARP,MRPS36
ZNF321P,PPIE,CACNG1
ZNF665,C15orf27,C1orf56
ZNF765,FBXL18,ZNF446
TPM3P9,FGF9,FAM177A1
ZNF813,NDUFV1,ELP3
ZNF331,GPR162,GINM1
MIR516B2,TRERF1,ATG10
MIR373,CTD-2530H12.1,GFRA1
CACNG6,LSP1,ZNF572
OSCAR,RGMA,ZNF581
RPS9,ACACA,STK38
AC012314.2,MIR1257,AKAP13
LILRB5,DSC3,ATP6V0A2
CU457734.1,SLCO4A1,DHX33
CU151838.1,TCTE1,TMCO6
AC245052.1,AQP12B,DDX46
LILRB2,PCSK6,ZER1
CU457734.3,WNT3A,NCKAP1
LILRA5,ZSWIM6,TMEM120B
LILRA4,PFKP,JAK2
LILRA1,FOXE1,RBBP6
LILRB1,MID2,DDI2
KIR3DL3,OSBPL11,RSC1A1
KIR3DL1,INPP5B,POLDIP3
RDH13,GLIPR2,LMNA
EPS8L1,NXPH4,LRG_254
PPP1R12C,CABLES1,MIR4257
DNAAF3,C18orf54,QTRT1
TMEM86B,TMED5,LINC00657
PPP6R1,OR10Q1,SF3B2
HSPBP1,MIR3907,CIPC
BRSK1,PHF20,SLC45A1
SUV420H2,BMP4,APLN
SHISA7,SLC30A2,MMD
SBK3,LILRB5,WDR83OS
ZNF581,CU457734.1,CCDC120
NLRP13,CU151838.1,DDX4
ZNF444,AC245052.1,BET1L
GALP,EPO,PIEZO1
ZSCAN5A,RASGEF1A,KIAA0368
DUXA,CDIP1,CNR2
ZNF547,RASL10A,NLRP13
VN1R1,ZNF547,TMEM192
ZNF550,LINC01056,ATP8B3
ZNF586,PDGFRB,NKAIN1
ZNF417,RP11-439E19.3,RTN4RL1
C19orf18,ANXA11,EPB41L1
ZNF329,TES,LINC00486
ZNF544,MPPED1,TIFA
ZSCAN22,CCL25,VOPP1
A1BG,RASSF3,C21orf2
RPS5,HES1,UST
AC012313.1,SBK1,GCSH
ZNF132,NDRG3,CYFIP1
ZNF324B,ARHGAP17,DNAJC7
SLC27A5,MIR4277,GAS6
TRIM28,PCOLCE-AS1,RPLP1
MZF1,GGTLC1,ICK
CENPBD1P1,ATP2B3,IGFBP4
TPO,LRRFIP1,LIPC
COLEC11,NFRKB,LIMD2
LRG_350,TTC9,TBC1D2
ALLC,SULT2B1,CCDC171
AC107070.1,CREG2,RAB43
LINC01105,LRRC4B,NSMF
ID2,KRT17,CER1
YWHAQ,RBP1,ST8SIA6-AS1
GRHL1,PALM2-AKAP2,FAT4
CYS1,AKAP2,VIM
C2orf48,FGF18,RABEP2
MIR4261,HES3,TTC39B
HPCAL1,REEP2,HNRNPLL
AC062028.1,ZNF335,KDM6A
LPIN1,WBP2,CCSER1
NBAS,FOXP2,GABARAPL1
MYCN,OXCT2,CLASP1
SMC6,TRAPPC8,MIR5692C2
NT5C1B,LMO1,KLLN
NT5C1B-RDH14,TLX1,HIST2H2BF
LINC00954,CREBRF,PARP15
TTC32,GBX1,TXN
WDR35,SAMD11,KCNE4
LAPTM4A,WDR1,HMGB3
HS1BP3,ZNF493,CLEC14A
APOB,TDH,GUCA1B
KLHL29,TANGO6,CABP4
FAM228B,GPX7,CDR2
FAM228A,IL15,USP10
ITSN2,GOT1L1,SCML4
POMC,FAM99B,ZNF677
MIR1301,BCAR3,MCAM
DNMT3A,CDK11A,BICD2
ASXL2,CDK11B,POLD4
OTOF,PAPSS1,ANXA11
AGBL5,CARD10,ZNF607
SLC30A3,LDLRAD3,RTKN
MPV17,GALNT3,DHCR7
GPN1,CXXC5,LRG_340
SLC4A1AP,TTBK1,TYRO3
RBKS,MMRN2,SNORA35
TRMT61B,R3HDML,VMAC
FAM179A,OSM,PTBP1
ALK,CELSR1,MLF2
LRG_488,HSPB8,JPH2
NLRC4,LRG_249,LRG_394
TTC27,DOK4,SARS2
LINC00486,DIRAS3,CAMK1
CEBPZ,STARD3,LRCH1
ATL2,SGPP1,METTL12
GALM,TMEM180,IDO2
SOS1,FOXS1,ITFG3
OXER1,ARX,FOXK1
THADA,PAQR5,KCNIP4
ABCG5,MB21D2,SRRM2-AS1
PPM1B,PLXNB1,SNX22
EPAS1,EML3,CSTA
RHOQ,RP11-1149O23.3,ISYNA1
SOCS5,FAM78A,CDC34
TTC7A,PDXK,RPS8
C2orf61,SAR1B,RP11-474D1.3
MIR559,KRT8P41,BAP1
MSH2,SIRPA,MFAP4
LRG_218,KIAA1644,PRKCI
C2orf73,FAM91A1,NUDT11
SPTBN1,CLDN15,HIST1H2BK
EML6,YWHAQ,NR4A1
RTN4,CPEB1,NQO2
CLHC1,TECPR1,PLEKHM1P
MTIF2,WNT10B,TM4SF5
PNPT1,DPH7,FAM9C
EFEMP1,PKM,ATXN2
FANCL,RP11-108K14.4,TMEM106B
PAPOLG,RP4-740C4.6,RP11-642P15.1
AC016747.3,LEF1-AS1,HDLBP
AHSA2,HTR2C,FOXI2
CCT4,PTPRU,BRMS1L
AC007365.1,UNC45A,POU2F1
CEP68,LINC01119,PTPRA
SPRED2,RNF44,AGPAT6
MEIS1-AS3,SIRT2,EIF3J-AS1
ETAA1,NR5A1,OBSL1
WDR92,GTSE1,EID3
PPP3R1,MIR3619,PEX11G
APLF,DCLK1,UHMK1
PCBP1-AS1,DIP2C,PROCA1
PCYOX1,NHLRC1,SEMA4B
SNRPG,TMEM161A,HECW2
ATP6V1B1,CARD14,PDHB
ZNF638,NUP210,RNF213
DYSF,PARP16,FAM127B
EXOC6B,TMPRSS9,USP14
SFXN5,APLF,KDM2B
RAB11FIP5,NIPAL2,PARL
PRADC1,DDX27,CYB5RL
TPRKB,RGR,MCFD2
DUSP11,ATP2B2,FUT10
ACTG2,GPR98,NEK9
TET3,PTH1R,DLX4
DCTN1,SPINT1,NDUFA4L2
RTKN,UTP20,SDC1
MRPL53,3-Mar,HYAL1
TTC31,MXRA7,TRIM27
PCGF1,SCARNA22,TMEM62
DQX1,ABHD1,PRR19
LOXL3,A2M-AS1,RBM44
DOK1,WDR83OS,MARCKS
TACR1,ABCB1,TMCC2
EVA1A,RAB7L1,JUNB
TGOLN2,PROP1,SFXN4
RETSAT,BCAT2,MIR520G
CAPG,KCNK9,RCE1
SH2D6,SSTR1,C11orf80
GGCX,GSG1L,UBE4B
VAMP8,DOC2B,RTN2
RNF181,HYOU1,C1orf204
USP39,IRF5,TRPC4AP
POLR1A,CHRD,BTF3
IMMT,NPR1,SGCA
MRPL35,LCN1,LRG_203
CD8A,KLK8,GNA15
LRG_44,BMI1,RFX8
MIR4436A,COMMD3-BMI1,STIM2
PROM2,PDIK1L,LIAS
KCNIP3,IRS4,RNF135
FAHD2CP,DEGS2,INPP1
SNRNP200,NRG1,ADAM8
NEURL3,ALDH3A1,E2F8
KANSL3,TMEM151B,FAM192A
CNNM4,FAM110C,GLB1
ANKRD23,PKDCC,STOM
ANKRD39,PTPN7,RAB9B
SEMA4C,KRT71,NCOA2
FAM178B,CADM4,IL9
