"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"RAF1"	"C-Raf_pS338-R-C_GBL9017364.txt"	"C-Raf_pS338-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"9427"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"CCNB1"	"Cyclin_B1-R-V_GBL9017244.txt"	"Cyclin_B1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1495-1"	"Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. "
"CCND1"	"Cyclin_D1-R-V_GBL9017245.txt"	"Cyclin_D1-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-718"	"Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors"
"CCNE1"	"Cyclin_E1-M-V_GBL9017337.txt"	"Cyclin_E1-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-247"	"Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins."
"CCNE2"	"Cyclin_E2-R-C_GBL9017383.txt"	"Cyclin_E2-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1142"	"Controls cell cycle at late G1 and early S phase"
"DIRAS3"	"DIRAS3-M-E_GBL9017428.txt"	"DIRAS3-M-E"	"Under Evaluation"	"Mouse"	"Dr. Robert C Bast Jr."	"Customer made"	"A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers."
"PARK7"	"DJ-1-R-V_GBL9017246.txt"	"DJ-1-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab76008"	"May involved in regulation of PTEN expression"
"GUSP4"	"DUSP4-R-V_GBL9017792.txt"	"DUSP4-R-V"	""	""	""	""	""
"DVL3"	"Dvl3-R-V_GBL9017247.txt"	"Dvl3-R-V"	"Validated"	"Rabbit"	"CST"	"3218"	"Intermediates of Wnt signaling pathways"
"CDH1"	"E-Cadherin-R-V_GBL9017228.txt"	"E-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4065"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"EEF2"	"eEF2-R-V_GBL9017248.txt"	"eEF2-R-V"	"Use with Caution"	"Rabbit"	"CST"	"2332"	"Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling."
"EEF2K"	"eEF2K-R-V_GBL9017249.txt"	"eEF2K-R-V"	"Validated"	"Rabbit"	"CST"	"3692"	"Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k."
"EGFR"	"EGFR-R-V_GBL9017434.txt"	"EGFR-R-V"	"Validated"	"Rabbit"	"CST"	"2232"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1068-R-C_GBL9017251.txt"	"EGFR_pY1068-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2234"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1173-R-V_GBL9017252.txt"	"EGFR_pY1173-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1124"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EIF4E"	"eIF4E-R-V_GBL9017254.txt"	"eIF4E-R-V"	"Valid"	"Rabbit"	"CST"	"9742"	"Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin."
"EIF4G1"	"eIF4G-R-C_GBL9017439.txt"	"eIF4G-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2498"	"Translation initiation factor"
"ENY2"	"ENY2-M-V_GBL9017802.txt"	"ENY2-M-V"	""	""	""	""	""
"EPPK1"	"EPPK1-M-C_GBL9017776.txt"	"EPPK1-M-C"	"Use with Caution"	"Mouse"	"BD Pharmingen"	"556347"	"Transfection Factor"
"ESR1"	"ER-alpha-R-V_GBL9017255.txt"	"ER-alpha-R-V"	"Validated"	"Rabbit"	"Lab Vision"	"RM-9101-S"	"Estrogen receptor, Transcription Factor"
"ESR1"	"ER-alpha_pS118-R-V_GBL9017256.txt"	"ER-alpha_pS118-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1091-1"	"Estrogen receptor, Transcription Factor"
"ERCC1"	"ERCC1-M-V_GBL9017338.txt"	"ERCC1-M-V"	"**Used for QC**"	"Mouse"	"Lab Vision"	"MS-671-PO"	"Involved in DNA repaire"
"ERCC5"	"ERCC5-R-C_GBL9017798.txt"	"ERCC5-R-C"	""	""	""	""	""
"MAPK1"	"ERK2-R-E_GBL9017414.txt"	"ERK2-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-154"	"Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42)."
"ETS1"	"ETS-1-R-V_GBL9017761.txt"	"ETS-1-R-V"	"Validated"	"Rabbit"	"BethYl"	"A303-501A"	"Ets-1 is a member of the ETS family of transcription factors"
"FASN"	"FASN-R-V_GBL9017440.txt"	"FASN-R-V"	"Validated"	"Rabbit"	"CST"	"3180"	"Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. "
"FN1"	"Fibronectin-R-V_GBL9017408.txt"	"Fibronectin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1574-1"	"Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape"
"FOXM1"	"FoxM1-R-V_GBL9017441.txt"	"FoxM1-R-V"	"Validated"	"Rabbit"	"CST"	"5436"	"A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation"
"FOXO3"	"FOXO3a-R-C_GBL9017259.txt"	"FOXO3a-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9467"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"FOXO3"	"FOXO3a_pS318_S321-R-C_GBL9017260.txt"	"FOXO3a_pS318_S321-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9465"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"G6PD"	"G6PD-M-V_GBL9017771.txt"	"G6PD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-373887"	"Plays an important role in the pentose phosphate pathway"
"GAB2"	"GAB2-R-V_GBL9017261.txt"	"GAB2-R-V"	"Validated"	"Rabbit"	"CST"	"3239"	"Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors"
"GAPDH"	"GAPDH-M-C_GBL9017772.txt"	"GAPDH-M-C"	"Use with Caution"	"Mouse"	"Ambion"	"AM4300"	"Glyceraldehyde 3-phosphate dehydrogenase"
"GATA3"	"GATA3-M-V_GBL9017415.txt"	"GATA3-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"558686"	"Transcription factor"
"GATA6"	"GATA6-R-E_GBL9017786.txt"	"GATA6-R-E"	""	""	""	""	""
"KAT2A"	"GCN5L2-R-V_GBL9017803.txt"	"GCN5L2-R-V"	""	""	""	""	""
"GSK3A GSK3B"	"GSK3-alpha-beta-M-V_GBL9017369.txt"	"GSK3-alpha-beta-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-7291"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3-alpha-beta_pS21_S9-R-V_GBL9017263.txt"	"GSK3-alpha-beta_pS21_S9-R-V"	"Validated"	"Rabbit"	"CST"	"9331"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3_pS9-R-V_GBL9017262.txt"	"GSK3_pS9-R-V"	"Validated"	"Rabbit"	"CST"	"9336"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"ERBB2"	"HER2-M-V_GBL9017370.txt"	"HER2-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-325-P1"	"The ErbB-2 proto-oncogene product"
"ERBB2"	"HER2_pY1248-R-C_GBL9017388.txt"	"HER2_pY1248-R-C"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-229"	"The ErbB-2 proto-oncogene product"
"ERBB3"	"HER3-R-V_GBL9017265.txt"	"HER3-R-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-201-P1ABX"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"ERBB3"	"HER3_pY1289-R-C_GBL9017266.txt"	"HER3_pY1289-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4791"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"NRG1"	"Heregulin-R-V_GBL9017442.txt"	"Heregulin-R-V"	"Validated"	"Rabbit"	"CST"	"2573"	"A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues"
"HSPA1A"	"HSP70-R-C_GBL9017384.txt"	"HSP70-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4872"	"A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress"
"IGFR1"	"IGF1R_pY1135_Y1136-R-V_GBL9017796.txt"	"IGF1R_pY1135_Y1136-R-V"	""	""	""	""	""
"IGFBP2"	"IGFBP2-R-V_GBL9017268.txt"	"IGFBP2-R-V"	"Validated"	"Rabbit"	"CST"	"3922"	"Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor"
"INPP4B"	"INPP4B-G-C_GBL9017377.txt"	"INPP4B-G-C"	"Under Evaluation"	"Goat"	"Santa Cruz"	"SC-12318"	"The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate."
"IRF1"	"IRF-1-R-C_GBL9017806.txt"	"IRF-1-R-C"	""	""	""	""	""
"IRS1"	"IRS1-R-V_GBL9017269.txt"	"IRS1-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-248"	"Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway."
"COPS5"	"JAB1-M-C_GBL9017429.txt"	"JAB1-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-13157"	"JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE."
"JAK2"	"Jak2-R-V_GBL9017804.txt"	"Jak2-R-V"	""	""	""	""	""
"MAPK9"	"JNK2-R-C_GBL9017270.txt"	"JNK2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4672"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"MAPK8"	"JNK_pT183_pY185-R-V_GBL9017354.txt"	"JNK_pT183_pY185-R-V"	"Validated"	"Rabbit"	"CST"	"4668"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"XRCC5"	"Ku80-R-C_GBL9017392.txt"	"Ku80-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2180"	"Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire"
"LCK"	"Lck-R-V_GBL9017389.txt"	"Lck-R-V"	"Validated"	"Rabbit"	"CST"	"2752"	"A member of Src family of protein tyrosine kinases"
"STK11"	"LKB1-M-E_GBL9017416.txt"	"LKB1-M-E"	"Under Evaluation"	"Mouse"	"Abcam"	"ab15095"	"Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor."
"MAPK1 MAPK3"	"MAPK_pT202_Y204-R-V_GBL9017273.txt"	"MAPK_pT202_Y204-R-V"	"Validated"	"Rabbit"	"CST"	"4377"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1-R-V_GBL9017274.txt"	"MEK1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1235-1"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1_pS217_S221-R-V_GBL9017358.txt"	"MEK1_pS217_S221-R-V"	"Validated"	"Rabbit"	"CST"	"9154"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"ERRFI1"	"MIG-6-M-V_GBL9017343.txt"	"MIG-6-M-V"	"Validated"	"Mouse"	"Sigma"	"WH0054206M1"	"ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth "
"MRE11A"	"Mre11-R-C_GBL9017277.txt"	"Mre11-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4847"	"A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks"
"MSH2"	"MSH2-M-V_GBL9017344.txt"	"MSH2-M-V"	"Validated"	"Mouse"	"CST"	"2850"	"MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. "
"MSH6"	"MSH6-R-C_GBL9017359.txt"	"MSH6-R-C"	"Use with Caution"	"Rabbit"	"Novus Biologicals"	"22030002"	"MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression."
"MTOR"	"mTOR-R-V_GBL9017385.txt"	"mTOR-R-V"	"Validated"	"Rabbit"	"CST"	"2983"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MTOR"	"mTOR_pS2448-R-C_GBL9017329.txt"	"mTOR_pS2448-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2971"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MYH11"	"MYH11-R-V_GBL9017423.txt"	"MYH11-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21370002"	"Myosin II forms bipolar filaments that interact with actin filaments to produce contraction."
"MYH9"	"Myosin-IIa-R-C_GBL9017785.txt"	"Myosin-IIa-R-C"	""	""	""	""	""
"MYH9"	"Myosin-IIa_pS1943-R-V_GBL9017424.txt"	"Myosin-IIa_pS1943-R-V"	"Validated"	"Rabbit"	"CST"	"5026"	"Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity"
"CDH2"	"N-Cadherin-R-V_GBL9017229.txt"	"N-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4061"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"NDRG1"	"NDRG1_pT346-R-V_GBL9017767.txt"	"NDRG1_pT346-R-V"	"Validated"	"Rabbit"	"CST"	"3217"	"A member of the NDRG family functions in growth, differentiation, and cell survival "
"NF2"	"NF2-R-C_GBL9017281.txt"	"NF2-R-C"	"Use with Caution"	"Rabbit"	"SDI"	"2271.00.02"	"Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals"
"NFKB1"	"NF-kB-p65_pS536-R-C_GBL9017280.txt"	"NF-kB-p65_pS536-R-C"	"Use with Caution"	"Rabbit"	"CST"	"3033"	"Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses "
"NOTCH1"	"Notch1-R-V_GBL9017282.txt"	"Notch1-R-V"	"Validated"	"Rabbit"	"CST"	"3268"	"A member of transmembrane receptor family that play important roles in development and the determination of cell fate "
"NRAS"	"N-Ras-M-V_GBL9017773.txt"	"N-Ras-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-31"	"The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway."
"CDKN2A"	"p16_INK4a-R-V_GBL9017788.txt"	"p16_INK4a-R-V"	""	""	""	""	""
"CDKN1A"	"p21-R-C_GBL9017284.txt"	"p21-R-C"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-397"	"p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest."
"CDKN1B"	"p27-R-V_GBL9017285.txt"	"p27-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1591-1"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT157-R-C_GBL9017286.txt"	"p27_pT157-R-C"	"Use with Caution"	"Rabbit"	"R&D"	"AF1555"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT198-R-V_GBL9017287.txt"	"p27_pT198-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab64949"	"Involved in cell cycle arrest at G1 phase."
"MAPK14"	"p38_MAPK-R-C_GBL9017288.txt"	"p38_MAPK-R-C"	"Validated"	"Rabbit"	"CST"	"9212"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"MAPK14"	"p38_pT180_Y182-R-V_GBL9017289.txt"	"p38_pT180_Y182-R-V"	"Validated"	"Rabbit"	"CST"	"9211"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"TP53"	"p53-R-V_GBL9017360.txt"	"p53-R-V"	"Under Evaluation"	"Rabbit"	"CST"	"9282"	"Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair "
"SQSTM1"	"p62-LCK-ligand-M-E_GBL9017777.txt"	"p62-LCK-ligand-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction Lab"	"610833"	"p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_.."
"RPS6KB1"	"p70S6K-R-V_GBL9017291.txt"	"p70S6K-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1494-1"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KB1"	"p70S6K_pT389-R-V_GBL9017292.txt"	"p70S6K_pT389-R-V"	"Validated"	"Rabbit"	"CST"	"9205"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KA1"	"p90RSK-R-C_GBL9017446.txt"	"p90RSK-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9347"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"RPS6KA1"	"p90RSK_pT359_S363-R-C_GBL9017293.txt"	"p90RSK_pT359_S363-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9344"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"SERPINE1"	"PAI-1-M-V_GBL9017430.txt"	"PAI-1-M-V"	"Under Evaluation"	"Mouse"	"BD Biosciences"	"612024"	"PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling"
"PARP1"	"PARP_cleaved-M-E_GBL9017345.txt"	"PARP_cleaved-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9546"	"PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis."
"PXN"	"Paxillin-R-V_GBL9017294.txt"	"Paxillin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1500-1"	"Involved in actin-membrane attachment, Regulates integrin signaling"
"CDH3"	"P-Cadherin-R-C_GBL9017230.txt"	"P-Cadherin-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2130"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"PCNA"	"PCNA-M-V_GBL9017346.txt"	"PCNA-M-V"	"Use with Caution"	"Mouse"	"Abcam"	"ab29"	"Involves in DNA repair"
"PDCD4"	"PDCD4-R-C_GBL9017447.txt"	"PDCD4-R-C"	"Use with Caution"	"Rabbit"	"Rockland"	"600-401-965"	"Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun."
"PDK1"	"PDK1-R-V_GBL9017448.txt"	"PDK1-R-V"	"Validated"	"Rabbit"	"CST"	"3062"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PDK1"	"PDK1_pS241-R-V_GBL9017295.txt"	"PDK1_pS241-R-V"	"Validated"	"Rabbit"	"CST"	"3061"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PEA15"	"PEA15-R-V_GBL9017394.txt"	"PEA15-R-V"	"Validated"	"Rabbit"	"CST"	"2780"	"Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling"
"PEA15"	"PEA15_pS116-R-V_GBL9017449.txt"	"PEA15_pS116-R-V"	"Validated"	"Rabbit"	"Invitrogen"	"44-836G"	"Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8."
"PIK3CA "	"PI3K-p110-alpha-R-C_GBL9017296.txt"	"PI3K-p110-alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4255"	"One of the of the catalytic subunit of PI3K"
"PIK3R1 PIK3R2"	"PI3K-p85-R-V_GBL9017399.txt"	"PI3K-p85-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-195"	"PI3K p85 regulatory subunit"
"PRKCA "	"PKC-alpha-M-V_GBL9017347.txt"	"PKC-alpha-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-154"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCA "	"PKC-alpha_pS657-R-V_GBL9017298.txt"	"PKC-alpha_pS657-R-V"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-822"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCD"	"PKC-delta_pS664-R-V_GBL9017393.txt"	"PKC-delta_pS664-R-V"	"Validated"	"Rabbit"	"Millipore"	"07-875"	"PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters."
"PRKCB"	"PKC-pan_BetaII_pS660-R-V_GBL9017510.txt"	"PKC-pan_BetaII_pS660-R-V"	"Validated"	"Rabbit"	"CST"	"9371"	"Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction"
"PGR"	"PR-R-V_GBL9017299.txt"	"PR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1483-1"	"Progesterone receptor, Transcription Factor"
"AKT1S1"	"PRAS40_pT246-R-V_GBL9017300.txt"	"PRAS40_pT246-R-V"	"Validated"	"Rabbit"	"Biosource"	"441100G"	"PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT"
"PRDX1"	"PRDX1-R-E_GBL9017511.txt"	"PRDX1-R-E"	"Under Evaluation"	"Rabbit"	"Sigma/Atlas"	"HPA007730"	"A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. "
"PREX1"	"PREX1-R-E_GBL9017422.txt"	"PREX1-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab102739"	"Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)"
"PTEN"	"PTEN-R-V_GBL9017302.txt"	"PTEN-R-V"	"Validated"	"Rabbit"	"CST"	"9552"	"A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling"
"RAB11A RAB11B"	"Rab11-R-V_GBL9017303.txt"	"Rab11-R-V"	"Under Evaluation"	"Rabbit"	"CST"	"3539"	"Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 "
"RAB25"	"Rab25-R-V_GBL9017762.txt"	"Rab25-R-V"	"Validated"	"Rabbit"	"CST"	"4314"	"A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility."
"RAD50"	"Rad50-M-C_GBL9017348.txt"	"Rad50-M-C"	"Validated"	"Mouse"	"Millipore"	"05-525"	"Involved in DNA double-strand break repair"
"RAD51"	"Rad51-M-C_GBL9017349.txt"	"Rad51-M-C"	"Under Evaluation"	"Mouse"	"Chem Biotech"	"na 71"	"Involved in DNA double-strand break repair"
"RPTOR"	"Raptor-R-V_GBL9017512.txt"	"Raptor-R-V"	"Validated"	"Rabbit"	"CST"	"2280"	"The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). "
